                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3062,                 3.5041,                 1.4116,                0.00061,                 0.0054,                0.00031,                  8e-05,                 4.1086,                    inf,                 7.0801,               0.070526,              0.0032749,              0.0032749
                      2,                 2.0549,                 2.4844,                 1.2957,                0.27974,                0.07217,                0.03473,                0.01989,                 2.6486,                  6.473,                 2.6451,               0.040461,              0.0065428,              0.0065428
                      3,                 1.9628,                 2.2536,                 1.2387,                0.47649,                0.04364,                0.06706,                0.03774,                 3.2947,                 4.2214,                 4.7021,               0.010329,              0.0097447,              0.0097447
                      4,                 1.9327,                  2.159,                 1.2267,                0.35106,                0.11214,                0.10341,                0.06412,                 2.3819,                  3.368,                 2.6752,               0.009703,               0.009703,               0.009703
                      5,                 1.8639,                 2.0493,                 1.2061,                0.43247,                0.19388,                0.20472,                0.12859,                 2.2991,                 3.2372,                 1.9967,               0.009604,               0.009604,               0.009604
                      6,                 1.8044,                 1.9294,                 1.1922,                0.44993,                0.22005,                0.22075,                0.13682,                  2.105,                 2.7815,                 1.3441,               0.009505,               0.009505,               0.009505
                      7,                 1.7701,                 1.8547,                 1.1736,                0.50034,                0.20952,                0.19397,                0.11499,                 2.1262,                 2.4712,                 1.5431,               0.009406,               0.009406,               0.009406
                      8,                 1.7273,                 1.8019,                 1.1714,                0.60486,                0.26721,                0.28451,                0.18439,                 1.7834,                 1.9752,                  1.195,               0.009307,               0.009307,               0.009307
                      9,                 1.7185,                 1.7972,                 1.1633,                 0.4582,                0.21239,                0.20793,                0.14022,                 2.0191,                 2.8109,                  1.961,               0.009208,               0.009208,               0.009208
                     10,                 1.6993,                 1.7334,                 1.1533,                0.54079,                0.23274,                0.24741,                0.16014,                 2.0568,                  2.482,                 1.4947,               0.009109,               0.009109,               0.009109
                     11,                 1.7038,                 1.7376,                 1.1476,                0.61927,                0.29851,                0.30855,                0.20633,                 1.7632,                  1.697,                 1.1813,                0.00901,                0.00901,                0.00901
                     12,                 1.6678,                 1.7111,                  1.143,                0.47182,                0.19669,                0.20899,                0.13074,                 1.8097,                 2.3752,                 1.3521,               0.008911,               0.008911,               0.008911
                     13,                 1.6683,                 1.6659,                 1.1438,                0.56505,                0.19694,                 0.2185,                0.14749,                 1.9676,                 2.3491,                  1.254,               0.008812,               0.008812,               0.008812
                     14,                 1.6572,                 1.6589,                 1.1455,                0.60363,                0.30857,                 0.3265,                  0.215,                 1.6844,                 1.7129,                   1.18,               0.008713,               0.008713,               0.008713
                     15,                 1.6334,                 1.6204,                 1.1309,                0.51986,                0.24736,                0.25437,                0.16134,                 1.9334,                 2.1565,                 1.3316,               0.008614,               0.008614,               0.008614
                     16,                 1.6566,                 1.6381,                 1.1506,                0.65414,                0.31062,                0.34356,                0.23175,                 1.6764,                 1.6828,                 1.1709,               0.008515,               0.008515,               0.008515
                     17,                 1.6535,                 1.6196,                 1.1399,                   0.05,                0.00022,                      0,                      0,                 5.0675,                    inf,                 7.6667,               0.008416,               0.008416,               0.008416
                     18,                 1.6172,                  1.593,                 1.1317,                0.59576,                0.32133,                0.32143,                0.21209,                 1.7233,                 1.6815,                 1.1534,               0.008317,               0.008317,               0.008317
                     19,                 1.6205,                 1.5886,                 1.1292,                0.53126,                0.28579,                 0.3147,                0.21044,                 1.7976,                 1.8666,                 1.2017,               0.008218,               0.008218,               0.008218
                     20,                 1.6087,                 1.5784,                 1.1283,                0.66242,                0.33965,                0.35141,                0.24011,                 1.6003,                  1.542,                 1.1785,               0.008119,               0.008119,               0.008119
                     21,                 1.5761,                 1.5201,                 1.1146,                0.56029,                0.25052,                0.25228,                0.16489,                 1.8423,                 2.2366,                 1.2906,                0.00802,                0.00802,                0.00802
                     22,                 1.6211,                 1.5649,                 1.1278,                0.61322,                0.32801,                0.36134,                0.24625,                 1.6296,                 1.7173,                 1.1782,               0.007921,               0.007921,               0.007921
                     23,                 1.5704,                  1.482,                  1.108,                0.45879,                0.13625,                0.16086,                0.09361,                 2.4741,                 3.9744,                 1.3352,               0.007822,               0.007822,               0.007822
                     24,                 1.5935,                 1.5527,                  1.111,                0.55106,                0.26843,                0.27874,                0.17838,                 1.8829,                 1.7608,                 1.1842,               0.007723,               0.007723,               0.007723
                     25,                 1.5728,                 1.5086,                 1.1087,                0.62739,                0.29846,                0.33744,                0.22319,                 1.7063,                 1.6201,                 1.1708,               0.007624,               0.007624,               0.007624
                     26,                 1.5917,                 1.5437,                 1.1186,                0.66607,                0.34033,                0.38209,                0.26365,                 1.5945,                 1.5717,                 1.1521,               0.007525,               0.007525,               0.007525
                     27,                 1.5588,                 1.4867,                 1.1014,                0.40335,                0.13854,                0.26825,                0.17866,                 2.5382,                 4.8092,                 1.7611,               0.007426,               0.007426,               0.007426
                     28,                 1.5594,                 1.4805,                 1.1076,                0.70881,                0.35557,                0.37013,                 0.2566,                 1.6008,                 1.7222,                 1.1608,               0.007327,               0.007327,               0.007327
                     29,                 1.5516,                  1.459,                 1.1081,                0.59948,                0.22797,                0.24972,                0.16056,                 1.8918,                  1.968,                 1.1641,               0.007228,               0.007228,               0.007228
                     30,                 1.5548,                 1.4604,                 1.1036,                0.44336,                0.15374,                0.28989,                0.19152,                  2.347,                  4.648,                 1.5303,               0.007129,               0.007129,               0.007129
                     31,                 1.5451,                 1.4491,                 1.0977,                0.59435,                0.23762,                0.25645,                0.17219,                 1.8884,                 1.9719,                 1.1774,                0.00703,                0.00703,                0.00703
                     32,                 1.5468,                 1.4688,                 1.1079,                0.15852,                0.13801,                 0.1277,                0.07326,                 2.9092,                 4.0353,                 1.5951,               0.006931,               0.006931,               0.006931
                     33,                 1.5706,                 1.4655,                 1.1141,                0.65043,                0.35913,                0.39868,                0.27896,                 1.5331,                 1.4337,                 1.1436,               0.006832,               0.006832,               0.006832
                     34,                  1.552,                 1.4614,                 1.1019,                0.72827,                0.33427,                0.37865,                0.25954,                 1.5839,                 1.5175,                 1.1227,               0.006733,               0.006733,               0.006733
                     35,                 1.5392,                 1.4498,                 1.0982,                 0.6824,                0.28245,                0.30505,                0.20061,                  1.773,                 1.7945,                 1.1875,               0.006634,               0.006634,               0.006634
                     36,                 1.5106,                 1.4077,                 1.0912,                0.71932,                0.36224,                0.39307,                0.27399,                 1.5386,                 1.4499,                 1.1117,               0.006535,               0.006535,               0.006535
