                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4843,                 1.3813,                 1.0868,                0.67336,                0.29693,                0.33729,                0.23118,                 1.6791,                 1.6243,                 1.1333,               0.006436,               0.006436,               0.006436
                     38,                 1.4886,                 1.3581,                 1.0778,                0.35857,                0.12188,                0.14154,                0.08648,                 2.5828,                 3.6586,                 1.3166,               0.006337,               0.006337,               0.006337
                     39,                 1.5201,                 1.4133,                 1.0864,                0.66759,                0.26522,                0.31498,                0.22393,                 1.7375,                 2.1346,                 1.1605,               0.006238,               0.006238,               0.006238
                     40,                 1.4857,                 1.3717,                 1.0752,                0.57154,                0.25416,                0.27749,                 0.1799,                 1.8056,                 1.8139,                 1.1452,               0.006139,               0.006139,               0.006139
                     41,                  1.519,                 1.4038,                 1.0866,                0.49816,                 0.2321,                0.25388,                0.18203,                 1.9498,                 3.3722,                 1.2627,                0.00604,                0.00604,                0.00604
                     42,                 1.5113,                 1.3833,                 1.0785,                0.59052,                0.24787,                0.27292,                0.17777,                 1.8497,                 2.0501,                 1.1853,               0.005941,               0.005941,               0.005941
                     43,                 1.5037,                  1.375,                 1.0832,                  0.684,                0.31339,                0.36523,                0.24179,                 1.6669,                  1.557,                  1.153,               0.005842,               0.005842,               0.005842
                     44,                 1.4934,                 1.3548,                 1.0825,                0.68186,                 0.3696,                0.41821,                0.29045,                 1.5173,                 1.3472,                 1.1104,               0.005743,               0.005743,               0.005743
                     45,                 1.4655,                 1.3315,                  1.068,                0.67045,                0.29571,                0.33414,                0.22376,                 1.7182,                 1.5751,                 1.1339,               0.005644,               0.005644,               0.005644
                     46,                 1.4844,                 1.3594,                 1.0759,                0.71894,                0.38186,                0.43645,                0.30709,                 1.4605,                 1.3071,                 1.1005,               0.005545,               0.005545,               0.005545
                     47,                 1.4556,                 1.3075,                 1.0686,                0.63415,                0.30246,                0.33063,                0.22938,                  1.673,                 1.5997,                 1.1226,               0.005446,               0.005446,               0.005446
                     48,                 1.4867,                 1.3703,                 1.0769,                0.72648,                0.34542,                0.39279,                0.27119,                 1.5554,                 1.4133,                 1.1008,               0.005347,               0.005347,               0.005347
                     49,                 1.4768,                 1.3389,                 1.0747,                0.62945,                 0.3398,                0.37355,                0.24965,                 1.6259,                  1.456,                 1.1061,               0.005248,               0.005248,               0.005248
                     50,                 1.5036,                 1.3599,                 1.0765,                0.60989,                0.21763,                0.26873,                0.17737,                 1.9691,                 2.3905,                 1.2442,               0.005149,               0.005149,               0.005149
                     51,                 1.4554,                 1.3178,                 1.0719,                 0.7293,                0.36122,                0.41966,                0.29597,                 1.4939,                 1.3323,                 1.1128,                0.00505,                0.00505,                0.00505
                     52,                 1.4694,                 1.3317,                 1.0761,                0.71437,                0.31998,                0.36372,                0.25361,                 1.6485,                 1.5625,                 1.1381,               0.004951,               0.004951,               0.004951
                     53,                 1.4652,                 1.3155,                 1.0719,                0.62057,                 0.2211,                0.28543,                0.20811,                 1.4945,                 2.0637,                 1.1546,               0.004852,               0.004852,               0.004852
                     54,                 1.4553,                   1.31,                 1.0732,                0.70643,                0.28753,                0.33139,                0.22625,                 1.7005,                 1.8896,                 1.1369,               0.004753,               0.004753,               0.004753
                     55,                 1.4687,                 1.3145,                 1.0672,                0.11046,                0.13047,                0.10233,                0.06385,                 2.8923,                 4.4223,                 1.8362,               0.004654,               0.004654,               0.004654
                     56,                 1.4458,                 1.2895,                  1.065,                0.70856,                 0.3516,                0.39285,                0.27757,                  1.518,                 1.3829,                 1.1015,               0.004555,               0.004555,               0.004555
                     57,                  1.439,                 1.2893,                 1.0642,                0.67631,                0.37824,                0.42272,                0.29361,                 1.4719,                 1.2769,                 1.0901,               0.004456,               0.004456,               0.004456
                     58,                  1.444,                 1.2806,                 1.0625,                0.68643,                0.30561,                0.33831,                0.23095,                 1.7265,                 1.8291,                 1.1633,               0.004357,               0.004357,               0.004357
                     59,                 1.4573,                 1.3003,                 1.0721,                0.53365,                0.23436,                0.25853,                0.16659,                 1.9754,                  2.054,                 1.1986,               0.004258,               0.004258,               0.004258
                     60,                 1.4332,                 1.2794,                 1.0593,                0.68669,                0.33923,                0.38063,                0.26736,                  1.557,                  1.443,                 1.1025,               0.004159,               0.004159,               0.004159
                     61,                 1.4248,                 1.2622,                 1.0541,                0.47538,                0.17931,                0.18628,                0.12622,                 2.1245,                 2.5027,                  1.229,                0.00406,                0.00406,                0.00406
                     62,                 1.4474,                 1.2777,                 1.0602,                0.66611,                0.29322,                0.33069,                0.23737,                 1.6343,                 1.5081,                 1.1217,               0.003961,               0.003961,               0.003961
                     63,                 1.4295,                 1.2466,                 1.0535,                0.75806,                 0.4055,                0.45191,                0.31979,                 1.4118,                 1.2174,                 1.0742,               0.003862,               0.003862,               0.003862
                     64,                 1.4225,                 1.2467,                 1.0499,                 0.2308,                0.02901,                0.12721,                0.08108,                 2.9386,                 7.2294,                 1.7731,               0.003763,               0.003763,               0.003763
                     65,                 1.4418,                 1.2736,                 1.0594,                0.67651,                0.35208,                0.40351,                0.28449,                 1.5141,                 1.3694,                 1.0871,               0.003664,               0.003664,               0.003664
                     66,                 1.4236,                 1.2657,                 1.0545,                0.71362,                 0.3558,                0.40785,                0.28761,                 1.5233,                 1.3904,                 1.1229,               0.003565,               0.003565,               0.003565
                     67,                 1.4339,                 1.2668,                 1.0533,                0.64092,                0.40102,                0.43525,                0.30803,                  1.427,                 1.2614,                 1.0825,               0.003466,               0.003466,               0.003466
                     68,                 1.4268,                 1.2563,                  1.053,                0.71338,                0.37666,                0.43699,                0.30943,                 1.4849,                 1.3327,                 1.0963,               0.003367,               0.003367,               0.003367
                     69,                 1.4069,                 1.2351,                 1.0505,                0.70832,                0.39998,                0.44767,                 0.3169,                 1.4143,                 1.2163,                 1.0737,               0.003268,               0.003268,               0.003268
                     70,                 1.4352,                 1.2514,                 1.0569,                0.76094,                 0.3763,                0.43827,                0.30923,                 1.4558,                  1.283,                 1.0865,               0.003169,               0.003169,               0.003169
                     71,                 1.4124,                 1.2367,                 1.0498,                0.75306,                0.38626,                0.44692,                0.31287,                 1.4602,                 1.2475,                 1.0849,                0.00307,                0.00307,                0.00307
                     72,                  1.425,                 1.2394,                 1.0531,                0.73645,                 0.3961,                0.45398,                0.32337,                 1.4221,                 1.2198,                 1.0739,               0.002971,               0.002971,               0.002971
                     73,                 1.3945,                 1.2206,                 1.0442,                0.74431,                0.39521,                0.45288,                0.32409,                 1.4352,                 1.2264,                 1.0865,               0.002872,               0.002872,               0.002872
                     74,                 1.4063,                  1.225,                 1.0485,                 0.6991,                0.32981,                0.37779,                0.26132,                 1.6194,                 1.4737,                 1.0939,               0.002773,               0.002773,               0.002773
                     75,                 1.3877,                  1.204,                 1.0444,                 0.6569,                0.30177,                0.33699,                0.23648,                 1.6836,                 1.6679,                 1.1131,               0.002674,               0.002674,               0.002674
                     76,                 1.3768,                 1.1992,                  1.037,                 0.7656,                0.40853,                0.46231,                0.33054,                 1.4387,                 1.2394,                 1.0903,               0.002575,               0.002575,               0.002575
                     77,                 1.3766,                 1.1954,                 1.0336,                0.73944,                0.36742,                0.43586,                0.31101,                 1.4516,                 1.2932,                 1.0793,               0.002476,               0.002476,               0.002476
                     78,                 1.3867,                 1.2051,                 1.0467,                0.70623,                0.41102,                0.46074,                0.32678,                 1.4183,                 1.2171,                 1.0801,               0.002377,               0.002377,               0.002377
                     79,                 1.3778,                 1.1791,                 1.0399,                0.73891,                0.42031,                0.47277,                0.33559,                 1.4055,                 1.1916,                 1.0738,               0.002278,               0.002278,               0.002278
                     80,                 1.3501,                 1.1573,                 1.0335,                0.73211,                0.35509,                0.40185,                0.28616,                 1.5222,                 1.3857,                 1.0861,               0.002179,               0.002179,               0.002179
                     81,                 1.3623,                 1.1731,                  1.033,                0.77522,                 0.3962,                 0.4559,                0.32345,                 1.4198,                 1.1991,                 1.0722,                0.00208,                0.00208,                0.00208
                     82,                 1.3842,                 1.1864,                 1.0361,                0.70402,                0.41751,                0.46693,                0.33302,                  1.399,                  1.165,                   1.07,               0.001981,               0.001981,               0.001981
                     83,                 1.3633,                 1.1739,                 1.0335,                0.70662,                0.38112,                0.43594,                0.30768,                 1.4659,                 1.2631,                 1.0809,               0.001882,               0.001882,               0.001882
                     84,                 1.3513,                 1.1478,                 1.0322,                0.68456,                0.41307,                0.45373,                0.32387,                 1.3975,                 1.1888,                  1.063,               0.001783,               0.001783,               0.001783
                     85,                 1.3596,                 1.1641,                  1.029,                0.76797,                0.40952,                0.46919,                 0.3388,                  1.383,                 1.1484,                 1.0706,               0.001684,               0.001684,               0.001684
                     86,                 1.3613,                 1.1631,                 1.0323,                0.68342,                 0.3735,                0.42359,                0.30436,                 1.4864,                 1.3353,                 1.0653,               0.001585,               0.001585,               0.001585
                     87,                 1.3752,                 1.1807,                 1.0361,                0.73874,                 0.4205,                0.46963,                0.33657,                 1.3758,                 1.1583,                   1.06,               0.001486,               0.001486,               0.001486
                     88,                 1.3336,                 1.1354,                 1.0265,                0.75305,                0.40695,                0.46948,                0.33795,                 1.3636,                 1.1668,                 1.0592,               0.001387,               0.001387,               0.001387
                     89,                 1.3312,                 1.1277,                 1.0268,                0.73939,                0.41879,                0.47087,                0.33663,                 1.3787,                 1.1466,                 1.0633,               0.001288,               0.001288,               0.001288
                     90,                 1.3482,                 1.1479,                  1.023,                0.68826,                0.43687,                0.47804,                0.34324,                 1.3591,                  1.139,                 1.0624,               0.001189,               0.001189,               0.001189
                     91,                  1.324,                 1.1166,                 1.0507,                0.49016,                 0.1675,                0.20688,                0.15206,                 1.6983,                 2.6009,                 1.4412,                0.00109,                0.00109,                0.00109
                     92,                 1.3277,                 1.1038,                 1.0507,                 0.7503,                0.41012,                0.47394,                0.33984,                  1.362,                   1.13,                 1.0638,               0.000991,               0.000991,               0.000991
                     93,                 1.2976,                 1.0763,                 1.0417,                0.71436,                0.42567,                0.47438,                0.34175,                 1.3623,                 1.1226,                 1.0604,               0.000892,               0.000892,               0.000892
                     94,                 1.3026,                 1.0787,                 1.0462,                0.73801,                0.41483,                0.47502,                0.34179,                 1.3555,                 1.1181,                 1.0532,               0.000793,               0.000793,               0.000793
                     95,                  1.299,                 1.0726,                 1.0456,                0.72576,                0.42977,                0.47938,                0.34418,                 1.3563,                 1.1164,                 1.0585,               0.000694,               0.000694,               0.000694
                     96,                 1.2825,                 1.0539,                 1.0413,                0.72704,                0.42387,                0.48092,                0.34609,                 1.3516,                 1.1023,                 1.0562,               0.000595,               0.000595,               0.000595
                     97,                 1.3023,                 1.0657,                 1.0371,                0.71552,                0.42393,                0.48044,                0.34773,                 1.3515,                 1.1106,                 1.0608,               0.000496,               0.000496,               0.000496
                     98,                 1.2941,                 1.0609,                 1.0384,                0.70631,                0.43284,                0.48313,                0.34852,                 1.3486,                 1.0986,                  1.057,               0.000397,               0.000397,               0.000397
                     99,                 1.2682,                 1.0263,                  1.028,                0.71555,                0.43034,                0.48242,                0.34673,                 1.3453,                 1.0924,                 1.0535,               0.000298,               0.000298,               0.000298
                    100,                 1.2783,                 1.0442,                 1.0353,                 0.7168,                0.43317,                0.48122,                0.34519,                 1.3377,                 1.0893,                 1.0536,               0.000199,               0.000199,               0.000199
