                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3726,                 4.9412,                 2.1108,                   0.02,                0.00013,                0.01005,                0.00403,                  3.994,                 5.2612,                 4.0012,             0.00012608,             0.00012608,             0.00012608
                      2,                 2.8437,                 3.7662,                 1.5535,                0.03362,                0.28415,                0.07018,                0.02886,                 2.3863,                 3.6898,                 1.4544,              0.0002519,              0.0002519,              0.0002519
                      3,                 2.6848,                 3.3717,                 1.4725,                0.37731,                0.07115,                0.05701,                0.02243,                 2.5037,                 3.4169,                 1.4075,             0.00037517,             0.00037517,             0.00037517
                      4,                 2.5717,                 3.1041,                 1.4199,                0.38559,                0.29697,                0.17987,                0.07348,                 1.9704,                 2.2817,                  1.224,             0.00037357,             0.00037357,             0.00037357
                      5,                 2.5029,                 2.9616,                 1.4028,                0.30606,                0.30484,                0.16548,                0.06642,                  1.976,                 2.5476,                 1.2801,             0.00036975,             0.00036975,             0.00036975
                      6,                 2.4232,                 2.8075,                 1.3728,                0.35059,                0.33055,                 0.1885,                0.07696,                 1.9038,                 2.2757,                 1.2104,             0.00036594,             0.00036594,             0.00036594
                      7,                 2.3816,                 2.7093,                 1.3494,                0.33605,                0.35244,                0.23275,                0.09155,                   1.93,                 2.1503,                 1.2424,             0.00036213,             0.00036213,             0.00036213
                      8,                 2.3466,                 2.6747,                 1.3583,                0.40031,                0.37314,                0.22449,                0.09153,                  1.828,                 2.1674,                 1.2297,             0.00035832,             0.00035832,             0.00035832
                      9,                 2.3376,                 2.6534,                 1.3542,                 0.3025,                0.26265,                0.15826,                0.06291,                 2.1134,                 2.4551,                  1.286,             0.00035451,             0.00035451,             0.00035451
                     10,                 2.3537,                 2.6665,                 1.3627,                0.37975,                0.34439,                0.21924,                0.09213,                 1.8076,                 2.2213,                 1.2196,              0.0003507,              0.0003507,              0.0003507
                     11,                  2.295,                 2.5627,                  1.336,                0.44225,                0.40304,                0.28939,                0.12052,                 1.7945,                 1.9126,                 1.2129,             0.00034689,             0.00034689,             0.00034689
                     12,                 2.2704,                 2.5376,                 1.3303,                0.37302,                0.41951,                0.29907,                 0.1277,                  1.818,                 1.9634,                 1.2247,             0.00034307,             0.00034307,             0.00034307
                     13,                 2.2952,                 2.5582,                 1.3347,                0.12644,                0.28779,                0.12221,                0.05086,                 2.1905,                 3.1726,                 1.3635,             0.00033926,             0.00033926,             0.00033926
                     14,                 2.2626,                 2.5124,                 1.3305,                0.40183,                0.33897,                0.24442,                0.10665,                 1.8321,                 2.1757,                 1.2686,             0.00033545,             0.00033545,             0.00033545
                     15,                  2.223,                 2.4726,                 1.3131,                0.29122,                0.19245,                0.13926,                0.05866,                 2.1197,                  2.814,                 1.4114,             0.00033164,             0.00033164,             0.00033164
                     16,                 2.2308,                 2.4599,                 1.3236,                0.35237,                0.38805,                0.25091,                0.09959,                 1.9578,                 2.0905,                 1.2678,             0.00032783,             0.00032783,             0.00032783
                     17,                 2.2539,                 2.4733,                  1.326,                0.25923,                0.22024,                0.11728,                0.04953,                 2.0289,                 2.7708,                 1.2563,             0.00032402,             0.00032402,             0.00032402
                     18,                 2.2243,                 2.4668,                 1.3199,                0.29805,                0.22428,                0.14616,                0.05758,                 2.0622,                 2.6453,                 1.2823,              0.0003202,              0.0003202,              0.0003202
                     19,                 2.2405,                 2.4554,                 1.3222,                0.36063,                0.45298,                   0.32,                0.12837,                 1.9181,                 1.8802,                 1.2922,             0.00031639,             0.00031639,             0.00031639
                     20,                  2.162,                 2.3644,                 1.2947,                0.28267,                0.26801,                0.17393,                0.07119,                 1.9641,                 2.4148,                 1.2443,             0.00031258,             0.00031258,             0.00031258
                     21,                 2.1667,                 2.3626,                 1.2989,                0.45921,                0.52744,                0.40444,                 0.1752,                 1.5991,                 1.7317,                 1.1275,             0.00030877,             0.00030877,             0.00030877
                     22,                 2.1875,                 2.3922,                 1.3006,                0.35248,                0.47788,                0.29399,                0.12387,                 1.6228,                 1.9342,                 1.1369,             0.00030496,             0.00030496,             0.00030496
                     23,                 2.1792,                 2.3774,                 1.2955,                0.47801,                0.16829,                 0.1634,                0.06024,                 2.3745,                 2.7062,                 1.5176,             0.00030115,             0.00030115,             0.00030115
                     24,                 2.1705,                 2.3818,                 1.3032,                0.40127,                0.43953,                0.33372,                0.14262,                 1.7243,                 1.8412,                 1.1912,             0.00029734,             0.00029734,             0.00029734
                     25,                 2.1605,                 2.3651,                 1.2955,                0.40989,                 0.3857,                0.30803,                0.13861,                 1.8014,                 2.0212,                 1.2529,             0.00029352,             0.00029352,             0.00029352
                     26,                 2.1886,                 2.3786,                  1.308,                0.53702,                0.51191,                0.45593,                0.21093,                    1.6,                 1.6104,                 1.1331,             0.00028971,             0.00028971,             0.00028971
                     27,                 2.1621,                 2.3408,                 1.2928,                0.43641,                0.44478,                0.35228,                 0.1643,                 1.6339,                  1.813,                 1.1772,              0.0002859,              0.0002859,              0.0002859
                     28,                 2.1449,                 2.3442,                 1.2952,                0.34155,                0.41025,                0.25714,                0.10093,                 1.8463,                 2.0572,                 1.2115,             0.00028209,             0.00028209,             0.00028209
                     29,                 2.1559,                  2.337,                 1.2949,                0.32742,                0.30836,                0.19935,                0.08152,                 1.8954,                 2.3249,                 1.2312,             0.00027828,             0.00027828,             0.00027828
