                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1402,                 2.3212,                 1.2909,                 0.4437,                0.52879,                 0.3995,                0.17447,                 1.5434,                 1.7356,                 1.1122,             0.00025922,             0.00025922,             0.00025922
                     35,                 2.1012,                 2.2657,                  1.276,                0.50487,                0.55161,                0.45005,                0.20633,                 1.5379,                 1.6087,                 1.1075,             0.00025541,             0.00025541,             0.00025541
                     36,                  2.148,                 2.3314,                  1.296,                0.50147,                0.54231,                0.44153,                0.19845,                  1.512,                 1.6061,                 1.0911,              0.0002516,              0.0002516,              0.0002516
                     37,                 2.1206,                 2.3029,                 1.2833,                0.47668,                 0.5377,                0.44132,                0.19787,                 1.5329,                 1.6278,                 1.1028,             0.00024779,             0.00024779,             0.00024779
                     38,                 2.1437,                 2.3274,                 1.2934,                0.54271,                0.54495,                0.47291,                0.20792,                 1.5547,                 1.5842,                 1.1251,             0.00024397,             0.00024397,             0.00024397
                     39,                 2.1093,                 2.2967,                 1.2797,                0.42297,                0.41644,                0.33228,                0.13674,                 1.8381,                    1.8,                 1.2989,             0.00024016,             0.00024016,             0.00024016
                     40,                 2.1341,                 2.3208,                 1.2892,                0.53142,                0.52912,                0.44632,                0.19705,                 1.4882,                 1.6329,                 1.0858,             0.00023635,             0.00023635,             0.00023635
                     41,                 2.0837,                 2.2513,                 1.2648,                0.46362,                0.51341,                0.41099,                0.18322,                 1.6103,                 1.6557,                 1.1403,             0.00023254,             0.00023254,             0.00023254
                     42,                 2.1069,                 2.2823,                 1.2907,                 0.5648,                0.51728,                0.47018,                0.20997,                 1.6517,                 1.5908,                 1.1796,             0.00022873,             0.00022873,             0.00022873
                     43,                 2.1607,                 2.3284,                 1.2958,                0.57271,                0.53302,                0.49925,                0.22605,                 1.4872,                 1.5642,                 1.0888,             0.00022492,             0.00022492,             0.00022492
                     44,                 2.0978,                 2.2762,                 1.2842,                0.54483,                0.54019,                0.47108,                0.20791,                  1.624,                 1.6062,                  1.154,             0.00022111,             0.00022111,             0.00022111
                     45,                 2.1473,                 2.3388,                 1.2972,                0.50005,                0.51394,                0.43153,                0.18973,                 1.5231,                 1.6731,                 1.0927,             0.00021729,             0.00021729,             0.00021729
                     46,                 2.0971,                 2.2611,                 1.2713,                0.53653,                0.51944,                0.46834,                0.22376,                 1.5247,                 1.5539,                 1.1289,             0.00021348,             0.00021348,             0.00021348
