                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6007,                 4.2457,                 1.5313,                0.63403,                0.17276,                0.10666,                0.04301,                 2.2062,                 3.0707,                 1.2738,             0.00012721,             0.00012721,             0.00012721
                      2,                 2.0971,                 2.6262,                 1.2126,                0.44782,                0.34276,                0.22494,                0.09461,                 1.8834,                 2.1152,                 1.1654,             0.00025301,             0.00025301,             0.00025301
                      3,                 1.9044,                 2.1725,                  1.165,                0.50369,                0.41495,                0.30711,                0.13678,                 1.7485,                 1.8455,                 1.1257,             0.00037627,             0.00037627,             0.00037627
                      4,                 1.8159,                 1.9657,                 1.1413,                0.36387,                0.49496,                0.33666,                0.14929,                 1.6671,                 1.7898,                 1.1206,             0.00037357,             0.00037357,             0.00037357
                      5,                 1.7312,                 1.8465,                 1.1184,                0.41701,                0.50966,                0.39327,                0.17556,                  1.602,                 1.6566,                 1.1124,             0.00036975,             0.00036975,             0.00036975
                      6,                 1.6952,                 1.7748,                 1.1164,                0.33158,                0.50079,                0.31245,                0.13068,                  1.641,                 1.8964,                 1.1133,             0.00036594,             0.00036594,             0.00036594
                      7,                  1.662,                 1.7324,                 1.1031,                0.36204,                0.59465,                0.41411,                0.18672,                 1.5555,                 1.6534,                 1.0809,             0.00036213,             0.00036213,             0.00036213
                      8,                  1.618,                 1.6733,                 1.0939,                0.45311,                0.54821,                0.44698,                0.20096,                 1.5369,                 1.6172,                 1.0852,             0.00035832,             0.00035832,             0.00035832
                      9,                 1.5977,                 1.6439,                 1.0863,                0.43555,                0.51557,                0.45355,                0.20563,                 1.5085,                 1.6163,                 1.0677,             0.00035451,             0.00035451,             0.00035451
                     10,                  1.587,                 1.6115,                 1.0744,                0.48322,                0.58239,                0.47553,                0.21114,                 1.5144,                 1.6372,                 1.0718,              0.0003507,              0.0003507,              0.0003507
                     11,                  1.574,                 1.5978,                 1.0785,                0.46998,                0.50982,                0.41901,                0.18472,                 1.5479,                 1.6867,                 1.0765,             0.00034689,             0.00034689,             0.00034689
                     12,                 1.5565,                 1.5441,                 1.0686,                0.56388,                0.58168,                0.54783,                0.24594,                 1.4778,                 1.5552,                 1.0655,             0.00034307,             0.00034307,             0.00034307
